Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
BEKS,Kalbe Farma Tbk.,7/30/1991,46875122110,Utama,Healthcare,2060,9.66E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BELI,Dosni Roha Indonesia Tbk.,8/1/1991,2510706263,Pengembangan,Industrials,545,1.37E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BELL,Intiland Development Tbk.,9/4/1991,10365854185,Utama,Properties & Real Estate,176,1.82E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BESS,Metro Realty Tbk.,1/8/1992,232848000,Pengembangan,Properties & Real Estate,158,36789984000,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BEST,Kabelindo Murni Tbk.,6/1/1992,1120000000,Pengembangan,Industrials,254,2.84E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BFIN,Plaza Indonesia Realty Tbk.,6/15/1992,3550000000,Utama,Properties & Real Estate,2190,7.77E+12,12/27/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BGTG,KMI Wire & Cable Tbk.,7/6/1992,4007235107,Utama,Industrials,318,1.27E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BHAT,Sona Topas Tourism Industry Tb,7/21/1992,331200000,Utama,Consumer Cyclicals,4400,1.46E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BHIT,Ever Shine Tex Tbk.,10/13/1992,2015208720,Utama,Consumer Cyclicals,60,1.21E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BIKA,Jembo Cable Company Tbk.,11/18/1992,151200000,Pengembangan,Industrials,4670,7.06E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BIKE,Smart Tbk.,11/20/1992,2872193366,Pengembangan,Consumer Non-Cyclicals,5250,1.51E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BIMA,Argha Karya Prima Industry Tbk,12/18/1992,612248000,Pengembangan,Basic Materials,1365,8.36E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BINA,Matahari Putra Prima Tbk.,12/21/1992,8477734948,Utama,Consumer Non-Cyclicals,177,1.50E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BINO,Indo Acidatama Tbk,1/11/1993,6020000000,Utama,Basic Materials,52,3.13E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BIPI,Modernland Realty Tbk.,1/18/1993,12533067322,Utama,Properties & Real Estate,96,1.20E+12,12/20/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BIPP,Fast Food Indonesia Tbk.,5/11/1993,3990277158,Pengembangan,Consumer Cyclicals,885,3.53E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BIRD,Tira Austenite Tbk,7/27/1993,588000000,Pengembangan,Industrials,420,2.47E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BISI,Lion Metal Works Tbk.,8/20/1993,520160000,Utama,Industrials,400,2.08E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BJBR,Intraco Penta Tbk.,8/23/1993,3343935022,Pengembangan,Industrials,74,2.47E+11,11/1/2021 9:00,6/3/2022 15:59,4/16/2020 9:00,6/3/2022 16:00,4/16/2001,11/18/2022
BJTM,Sekar Laut Tbk.,9/8/1993,690740500,Pengembangan,Consumer Non-Cyclicals,1980,1.37E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
